SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0600, 6, -0.39285636, -1.00021350, 0.06362513, 2.81569743, 28.46687126, 24.84429169, -57.29319000, -30.25431061, -71.90879822, 90.32433319, -7.74201107, 82.76464844, -0.49619517, 0.56230712, 0.43198961, 0.50098515, 0.25981051, 0.00912033, -0.05800630, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.41712204, -1.01246893, 0.03124178, 7.51714611, 29.91365051, 28.50813675, -58.17012405, -28.88044357, -72.43495941, 90.35833740, -8.02886677, 83.06493378, -0.49344879, 0.56239581, 0.43221188, 0.50340062, 0.27936688, 0.02202139, -0.02531603, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, 0.99906915, -0.07657403, 0.08735542, -4.36797810, 1.53876710, -4.60002422, 79.56737518, -2.89389062, 87.40134430, 134.41281128, 83.25688934, 85.34516907, 0.62801242, -0.33221215, -0.65629381, 0.25399595, -0.00600402, -0.00758182, -0.00525999, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.43622667, -1.02874172, -0.05474418, 9.99682808, 33.90056610, 33.60329056, -58.43320465, -28.67582512, -72.49342346, 90.40978241, -8.36715698, 83.40515900, -0.49019888, 0.56259924, 0.43245777, 0.50612980, 0.29296923, 0.03908054, 0.06146980, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.39793217, -1.06411564, -0.15230967, 10.34998703, 36.27974701, 37.87804413, -58.43320465, -28.67582512, -72.49342346, 90.45031738, -8.75802040, 83.76931763, -0.48664388, 0.56285983, 0.43251884, 0.50920933, 0.24830826, 0.07540363, 0.15989032, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, 0.99664837, -0.08271331, 0.09262891, -4.61912680, 1.95878577, -5.11829424, 78.22274017, -2.98158431, 87.89827728, 134.78932190, 83.27949524, 85.77075958, 0.62792057, -0.33170924, -0.65665185, 0.25395507, -0.00353716, -0.00065514, -0.01028915, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1300, 13, 0.99669570, -0.08986773, 0.10862401, -6.80249166, 1.76964986, -5.79849434, 78.69043732, -3.18620276, 87.72288513, 135.23080444, 83.30080414, 86.29016113, 0.62784749, -0.33103117, -0.65713686, 0.25376573, -0.00353599, 0.00737306, -0.02598955, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.33379638, -1.06890631, -0.24270435, 9.25380325, 38.20235443, 41.58465958, -58.46243668, -27.68196487, -72.43495941, 90.48312378, -9.17697716, 84.15262604, -0.48289335, 0.56311792, 0.43250442, 0.51249611, 0.17706813, 0.08130033, 0.25085804, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.25740525, -1.04412055, -0.29982355, 5.30103827, 37.94534302, 43.40327454, -58.84244156, -27.76965714, -72.81496429, 90.47395325, -9.61418152, 84.53353119, -0.47925332, 0.56327528, 0.43220192, 0.51598316, 0.09321986, 0.05772810, 0.30809969, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, -0.19327624, -0.98490655, -0.32514036, 0.32469326, 37.62960815, 42.55090714, -58.37474442, -27.65273285, -73.04881287, 90.41257477, -10.04261398, 84.91206360, -0.47589633, 0.56319267, 0.43169323, 0.51959395, 0.02164722, -0.00022381, 0.33270264, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.06241872, -0.89948559, -0.21103229, 0.49977416, 32.39906311, 40.86642456, -58.37474442, -27.65273285, -73.04881287, 90.35951996, -10.45343304, 85.23851776, -0.47279310, 0.56327796, 0.43104875, 0.52285910, -0.11643249, -0.08436736, 0.21748467, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.06032186, -0.85961646, -0.15589008, 1.31644261, 23.26934624, 33.66619873, -60.21630859, -27.62350082, -72.90265656, 90.31488800, -10.77490330, 85.49764252, -0.47034979, 0.56332004, 0.43054596, 0.52542543, -0.24540368, -0.12308856, 0.16165842, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 14, 0.99554819, -0.07089528, 0.10461970, -9.35573292, 0.97748339, -6.21139717, 79.39199066, -3.18620276, 87.69365692, 135.57330322, 83.33740997, 86.72921753, 0.62792397, -0.33018383, -0.65757668, 0.25354114, -0.00233085, -0.01067620, -0.02176241, 0.00000000, 0.00000000, 0.00000000, 0.00000000
